[2025-02-08 15:31:23] (error): Failed to initialize services
[2025-02-08 15:35:00] (info): Server running on http://localhost:9095
[2025-02-08 15:44:36] (info): Server running on http://localhost:3000
[2025-02-08 15:49:01] (info): Server running on http://localhost:3000
[2025-02-08 15:49:10] (info): Server running on http://localhost:3000
[2025-02-08 15:51:09] (info): Server running on http://localhost:3000
[2025-02-08 15:51:16] (info): Server running on http://localhost:3000
[2025-02-08 15:51:24] (info): Server running on http://localhost:3000
[2025-02-08 15:51:30] (info): Server running on http://localhost:3000
[2025-02-08 15:51:37] (info): Server running on http://localhost:3000
[2025-02-08 15:51:49] (info): Server running on http://localhost:3000
[2025-02-08 15:52:05] (info): Server running on http://localhost:3000
[2025-02-08 15:56:14] (info): Server running on http://localhost:3000
[2025-02-08 15:56:37] (info): Server running on http://localhost:3000
[2025-02-08 15:56:42] (info): Server running on http://localhost:3000
[2025-02-08 15:58:40] (info): Server running on http://localhost:3000
[2025-02-08 16:09:19] (info): Server running on http://localhost:3000
[2025-02-08 16:09:27] (info): Server running on http://localhost:3000
[2025-02-08 16:11:07] (info): Server running on http://localhost:3000
[2025-02-08 16:11:23] (info): Server running on http://localhost:3000
[2025-02-08 19:27:41] (info): Server running on http://localhost:3000
[2025-02-08 20:05:38] (info): Server running on http://localhost:3000
[2025-02-08 20:05:46] (info): Server running on http://localhost:3000
[2025-02-08 20:06:36] (info): Server running on http://localhost:3000
[2025-02-08 20:06:50] (info): Server running on http://localhost:3000
[2025-02-08 20:07:47] (info): Server running on http://localhost:3000
[2025-02-08 20:08:20] (info): Server running on http://localhost:3000
[2025-02-08 20:08:27] (info): Server running on http://localhost:3000
[2025-02-08 20:08:33] (info): Server running on http://localhost:3000
[2025-02-08 20:08:42] (info): Server running on http://localhost:3000
[2025-02-08 20:08:53] (info): Server running on http://localhost:3000
[2025-02-08 20:10:29] (info): Server running on http://localhost:3000
[2025-02-08 20:33:13] (info): Server running on http://localhost:3000
[2025-02-08 20:33:21] (info): Server running on http://localhost:3000
[2025-02-08 20:38:31] (info): Server running on http://localhost:3000
[2025-02-08 20:38:45] (info): Server running on http://localhost:3000
[2025-02-08 20:38:51] (info): Server running on http://localhost:3000
[2025-02-08 20:39:22] (info): Server running on http://localhost:3000
[2025-02-08 20:39:27] (info): Server running on http://localhost:3000
[2025-02-08 20:41:51] (info): Server running on http://localhost:3000
[2025-02-08 20:42:05] (info): Server running on http://localhost:3000
[2025-02-08 20:42:13] (info): Server running on http://localhost:3000
[2025-02-08 20:46:44] (info): Server running on http://localhost:3000
[2025-02-08 20:47:16] (info): Server running on http://localhost:3000
[2025-02-08 20:57:07] (info): Server running on http://localhost:3000
[2025-02-08 20:59:07] (info): Server running on http://localhost:3000
[2025-02-08 21:01:40] (info): Server running on http://localhost:3000
[2025-02-08 21:02:28] (info): Server running on http://localhost:3000
[2025-02-08 21:03:27] (info): Server running on http://localhost:3000
[2025-02-08 21:03:43] (info): Server running on http://localhost:3000
[2025-02-08 21:05:07] (info): Server running on http://localhost:3000
[2025-02-08 21:33:38] (info): Server running on http://localhost:3000
[2025-02-08 21:33:47] (info): Server running on http://localhost:3000
